,Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Predictions,flow_key
0,58705,0.088749885559082,13,0,9023,0,1304,54,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694.0769230769231,0,0,694.0769230769231,13,0,0,0,0,0,0,0,0,0,0,0,0,0.0805991421220824,0,0.088749885559082,0.0015499591827392,0.0308642170645973,0.038713970273496,0.088749885559082,0.0015499591827392,0,"('142.251.175.188', 5228, '192.168.1.7', 58705)"
1,5228,0.1388788223266601,7,0,651,0,263,54,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0917948111891746,0,0.1388788223266601,6.4849853515625e-05,0.0388937393824259,0.0543405912394885,0.1388788223266601,6.4849853515625e-05,0,"('192.168.1.7', 58705, '142.251.175.188', 5228)"
2,443,3.3954179286956787,6,0,426,0,71,71,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2873450294137,0,3.3954179286956787,0.2393648624420166,1.3547333240509034,1.143929955684707,3.3954179286956787,0.2393648624420166,0,"('192.168.1.7', 52815, '142.250.193.234', 443)"
3,52815,3.396005153656006,6,0,396,0,66,66,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28817355632782,0,3.396005153656006,0.2405691146850586,1.3556264877319335,1.1438886043272762,3.396005153656006,0.2405691146850586,0,"('142.250.193.234', 443, '192.168.1.7', 52815)"
4,443,0.0713229179382324,3,0,219,0,111,54,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0358269810676574,0,0.0713229179382324,0.000662088394165,0.0359925031661987,0.0353304147720336,0.0713229179382324,0.000662088394165,0,"('192.168.1.7', 58519, '20.212.88.117', 443)"
5,53,0.0,1,0,125,0,125,125,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,"('192.168.1.7', 50937, '192.168.1.1', 53)"
6,53,0.0,1,0,125,0,125,125,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,"('192.168.1.7', 51348, '192.168.1.1', 53)"
7,50937,0.0,1,0,236,0,236,236,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,"('192.168.1.1', 53, '192.168.1.7', 50937)"
8,51348,0.0,1,0,280,0,280,280,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,"('192.168.1.1', 53, '192.168.1.7', 51348)"
9,443,0.2281508445739746,11,0,5645,0,1304,54,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513.1818181818181,0,0,513.1818181818181,11,0,0,0,0,0,0,0,0,0,0,0,0,0.2088114796206355,0,0.2281508445739746,0.073132038116455,0.1444808959960937,0.0540394658856118,0.2281508445739746,0.073132038116455,0,"('192.168.1.7', 58706, '20.212.88.117', 443)"
