flow_key,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Times,Idle Mean,Idle Std,Idle Max,Idle Min,first_timestamp,last_timestamp,src_ip,dst_ip
"('142.251.175.188', 5228, '192.168.1.7', 58705)",0.08874988555908203,13,0,9023,0,1304,54,0,0,0,inf,0,0,0,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694.0769230769231,0,0,694.0769230769231,13,0,0,0,0,0,0,0,0,0,0,0,0,0.08059914212208241,0,0.08874988555908203,0.0015499591827392578,"[0.0015499591827392578, 0.0015499591827392578, 0.0016870498657226562, 0.0016870498657226562, 0.001931905746459961, 0.001931905746459961, 0.001931905746459961, 0.07524895668029785, 0.07524895668029785, 0.08798885345458984, 0.08874988555908203]",0.03086421706459739,0.03871397027349606,0.08874988555908203,0.0015499591827392578,1732187508.129193,1732187508.129193,142.251.175.188,192.168.1.7
"('192.168.1.7', 58705, '142.251.175.188', 5228)",0.13887882232666016,7,0,651,0,263,54,0,0,0,inf,0,0,0,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09179481118917465,0,0.13887882232666016,6.4849853515625e-05,"[6.4849853515625e-05, 0.0003559589385986328, 0.003576993942260742, 0.004014015197753906, 0.0864717960357666, 0.13887882232666016]",0.03889373938242594,0.05434059123948855,0.13887882232666016,6.4849853515625e-05,1732187508.130829,1732187508.130829,192.168.1.7,142.251.175.188
"('192.168.1.7', 52815, '142.250.193.234', 443)",3.3954179286956787,6,0,426,0,71,71,0,0,0,inf,0,0,0,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2873450294137,0,3.3954179286956787,0.2393648624420166,"[0.2393648624420166, 0.4730229377746582, 0.9109859466552734, 1.7548749446868896, 3.3954179286956787]",1.3547333240509034,1.1439299556847067,3.3954179286956787,0.2393648624420166,1732187508.218502,1732187508.218502,192.168.1.7,142.250.193.234
"('142.250.193.234', 443, '192.168.1.7', 52815)",3.396005153656006,6,0,396,0,66,66,0,0,0,inf,0,0,0,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28817355632782,0,3.396005153656006,0.2405691146850586,"[0.2405691146850586, 0.47337913513183594, 0.9118220806121826, 1.756356954574585, 3.396005153656006]",1.3556264877319335,1.1438886043272762,3.396005153656006,0.2405691146850586,1732187508.248359,1732187508.248359,142.250.193.234,192.168.1.7
"('192.168.1.7', 58519, '20.212.88.117', 443)",0.07132291793823242,3,0,219,0,111,54,0,0,0,inf,0,0,0,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03582698106765747,0,0.07132291793823242,0.0006620883941650391,"[0.0006620883941650391, 0.07132291793823242]",0.03599250316619873,0.03533041477203369,0.07132291793823242,0.0006620883941650391,1732187508.466954,1732187508.466954,192.168.1.7,20.212.88.117
"('192.168.1.7', 50937, '192.168.1.1', 53)",0.0,1,0,125,0,125,125,0,0,0,inf,0,0,0,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,inf,[],0.0,0.0,0.0,inf,1732187508.469261,1732187508.469261,192.168.1.7,192.168.1.1
"('192.168.1.7', 51348, '192.168.1.1', 53)",0.0,1,0,125,0,125,125,0,0,0,inf,0,0,0,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,inf,[],0.0,0.0,0.0,inf,1732187508.469363,1732187508.469363,192.168.1.7,192.168.1.1
"('192.168.1.1', 53, '192.168.1.7', 50937)",0.0,1,0,236,0,236,236,0,0,0,inf,0,0,0,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,inf,[],0.0,0.0,0.0,inf,1732187508.474614,1732187508.474614,192.168.1.1,192.168.1.7
"('192.168.1.1', 53, '192.168.1.7', 51348)",0.0,1,0,280,0,280,280,0,0,0,inf,0,0,0,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,inf,[],0.0,0.0,0.0,inf,1732187508.475847,1732187508.475847,192.168.1.1,192.168.1.7
"('192.168.1.7', 58706, '20.212.88.117', 443)",0.2281508445739746,11,0,5645,0,1304,54,0,0,0,inf,0,0,0,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,inf,0,0,0,0,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513.1818181818181,0,0,513.1818181818181,11,0,0,0,0,0,0,0,0,0,0,0,0,0.2088114796206355,0,0.2281508445739746,0.07313203811645508,"[0.07313203811645508, 0.07435297966003418, 0.07435297966003418, 0.14866995811462402, 0.15460801124572754, 0.15479302406311035, 0.15479302406311035, 0.15479302406311035, 0.22716307640075684, 0.2281508445739746]",0.14448089599609376,0.05403946588561181,0.2281508445739746,0.07313203811645508,1732187508.476083,1732187508.476083,192.168.1.7,20.212.88.117
